DATE,VALUE
1919-10-01,93.4
1919-09-01,97.8
1919-08-01,105.8
1919-07-01,100.4
1919-06-01,101.8
1919-05-01,106.0
1919-04-01,101.9
1919-03-01,117.4
1919-02-01,108.0
1919-01-01,106.8
